,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,6,1,0.714285612,0.03482587,12.81481481,0.228323699,5.217255406,12.81481481,79,346,1.819526627,1,4.658959538,
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,55,30,0.294117644,0.090042373,17.4875,0.346676197,7.133670479,17.4875,485,1399,2.134262656,3,5.526804861,
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,38,24,0.225806448,0.082119205,18.38596491,0.404580153,7.516218026,18.38596491,424,1048,2.339476237,13,6.220419847,
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,36,72,-0.33333333,0.146341463,19.75,0.386562804,8.054625122,19.75,397,1027,2.306143001,4,6.101265823,
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,20,8,0.428571413,0.065420561,16.41463415,0.306092125,6.688290508,16.41463415,206,673,2.085843373,6,5.610698366,
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,84,26,0.527272722,0.086477987,19.72527473,0.386629526,8.044761701,19.72527473,694,1795,2.271282633,6,6.082451253,
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,22,40,-0.290322576,0.107638889,15.33898305,0.304972376,6.257582171,15.33898305,276,905,2.005599104,1,5.375690608,
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,29,9,0.526315776,0.063973064,15.75,0.435185185,6.474074074,15.75,329,756,2.497222222,3,6.388888889,
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,35,47,-0.146341462,0.115983027,15.77586207,0.433879781,6.48389674,15.77586207,397,915,2.397777778,2,6.426229508,
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,59,66,-0.056,0.145011601,18.56626506,0.308890331,7.550062156,18.56626506,476,1541,2.048634244,8,5.407527579,
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60,18,0.538461532,0.084598698,20.19117647,0.383102695,8.229711666,20.19117647,526,1373,2.233560091,2,5.86598689,
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,76,22,0.551020403,0.098492462,19.24705882,0.355745721,7.841121818,19.24705882,582,1636,2.242724458,2,5.682762836,
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.490196069,0.155963302,24.28,0.349258649,9.85170346,24.28,212,607,2.164128596,3,5.444810544,
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,21,27,-0.124999997,0.072072072,14.52702703,0.305116279,5.932857322,14.52702703,328,1075,2.000961538,3,5.28,
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,33,27,0.099999998,0.078947368,20.38983051,0.341645885,8.292590558,20.38983051,411,1203,2.108860759,6,5.598503741,
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,33,27,0.099999998,0.078947368,20.38983051,0.341645885,8.292590558,20.38983051,411,1203,2.108860759,6,5.598503741,
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,43,12,0.563636353,0.07925072,16.61538462,0.321296296,6.774672365,16.61538462,347,1080,2.101518027,5,5.57037037,
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,32,10,0.523809511,0.060606061,20.76,0.365125241,8.450050096,20.76,379,1038,2.16765286,1,5.634874759,
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,57,6,0.809523797,0.062811565,17.33333333,0.313100962,7.058573718,17.33333333,521,1664,2.031553398,4,5.381610577,
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,8,0,0.999999875,0.030534351,20.8,0.234615385,8.413846154,20.8,122,520,1.837209302,1,4.980769231,
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,22,46,-0.352941171,0.104134762,19.74509804,0.362462761,8.04302432,19.74509804,365,1007,2.136863137,6,5.633565045,
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,12,8,0.19999999,0.092592592,14.10344828,0.249388753,5.741134812,14.10344828,102,409,1.882063882,4,5.036674817,
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,28,14,0.333333325,0.05204461,21.421875,0.27571116,8.679034464,21.421875,378,1371,1.946107784,7,5.023340627,
